COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR
MONTGOMERY,0.0,0.0,3.23,53.9,2.5,49.51,0.0,78.44,19.67,1.1,0.0,50.49,0.0,0.0,46.1,46.71,36.78,0.0,0.0,0.0,0.0,15.59,38.12,82.92,27,2019
NASSAU,0.0,11.23,11.53,29.85,4.33,48.42,1.34,88.38,21.54,1.19,0.0,51.52,0.0,0.24,70.11,44.34,26.26,0.0,0.0,0.0,0.0,10.97,51.43,93.33,28,2019
NEW YORK,0.03,13.03,21.54,66.63,7.09,53.46,4.42,74.56,42.8,6.69,0.0,45.7,0.0,0.64,30.01,34.34,66.24,0.0,0.0,0.0,0.0,14.97,9.82,81.79,31,2019
NIAGARA,2.01,1.14,11.87,40.71,0.16,49.16,0.0,84.93,2.67,1.06,0.0,50.84,0.0,1.99,59.29,11.87,44.39,0.0,0.0,0.0,0.0,13.32,77.39,86.55,40,2019
ONEIDA,0.0,5.8,8.04,46.99,2.49,49.81,2.26,81.59,6.55,1.09,0.0,50.19,0.0,0.52,53.01,24.56,40.74,0.0,0.0,0.0,0.0,12.76,53.47,88.62,41,2019
ONONDAGA,0.39,3.93,17.7,42.01,3.09,49.59,1.09,85.85,5.23,2.88,0.0,50.38,0.0,1.22,57.8,29.1,58.48,0.0,0.0,0.0,0.0,12.81,62.84,86.23,42,2019
ONTARIO,0.0,1.27,2.29,33.57,0.79,47.86,0.13,84.34,5.17,0.66,0.0,52.14,0.0,0.79,66.43,12.5,15.3,0.0,0.0,0.0,0.0,8.68,69.41,91.86,43,2019
ORANGE,0.0,1.73,13.38,39.95,1.94,48.99,0.87,85.01,26.36,1.97,0.0,50.9,0.0,0.33,59.69,43.88,51.39,0.0,0.0,3.72,0.62,13.08,55.3,89.88,44,2019
ORLEANS,0.0,0.0,0.0,49.6,0.0,48.79,0.0,81.93,5.05,0.0,0.0,51.21,0.0,1.98,50.4,0.0,0.0,0.0,0.0,0.0,0.0,14.34,73.08,90.49,45,2019
OSWEGO,0.0,0.0,0.49,47.51,0.24,47.88,0.0,88.15,1.8,4.63,0.0,52.12,0.11,0.34,52.49,12.37,63.33,6.15,0.0,0.0,0.0,11.85,76.85,86.01,46,2019
OTSEGO,0.0,0.7,1.85,40.31,0.0,48.92,0.0,66.01,1.85,0.0,0.0,51.08,0.0,0.0,59.69,0.0,0.0,0.0,0.0,0.0,0.0,13.07,37.63,88.46,47,2019
PUTNAM,0.0,1.67,1.65,22.41,1.62,49.24,0.54,86.72,18.63,0.0,0.0,50.76,0.0,0.67,77.59,40.47,0.0,0.0,0.0,0.0,0.0,13.28,74.41,94.49,48,2019
QUEENS,0.66,27.71,19.7,71.59,7.68,46.93,6.04,80.49,35.36,3.89,0.0,51.97,0.0,0.57,28.24,59.36,69.84,0.0,0.0,0.0,0.0,12.54,11.0,84.36,34,2019
RENSSELAER,0.0,1.7,10.47,39.36,0.6,48.99,0.0,84.81,5.43,1.42,0.0,51.01,0.0,2.17,60.64,20.28,41.16,0.0,0.0,0.0,0.0,15.19,65.77,90.73,49,2019
RICHMOND,0.04,10.01,13.52,55.12,2.07,48.35,2.04,74.61,25.44,3.23,0.0,51.65,0.0,0.18,44.88,75.7,78.25,0.0,0.0,0.0,0.0,18.24,48.04,85.73,35,2019
ROCKLAND,0.06,7.07,13.88,37.17,8.28,49.26,2.8,87.89,28.63,1.86,0.06,50.45,0.0,0.46,62.77,65.19,26.51,0.0,6.49,0.0,0.0,11.82,46.61,88.89,50,2019
SAINT LAWRENCE,2.88,0.19,0.0,47.67,0.0,50.12,0.0,72.3,0.0,2.51,0.0,49.38,0.0,0.0,51.83,0.0,39.52,0.0,0.0,0.0,0.0,12.93,40.07,88.37,51,2019
SARATOGA,0.0,2.74,1.64,22.7,0.16,48.26,0.0,88.29,2.53,1.48,0.0,51.74,0.0,0.07,77.3,19.92,55.27,0.0,0.0,0.0,0.0,9.91,83.87,92.71,52,2019
SCHENECTADY,0.0,12.82,16.38,44.23,1.28,50.17,0.37,85.26,8.17,1.1,0.0,49.83,0.0,0.97,55.77,41.09,27.15,0.0,0.0,0.0,0.0,13.77,55.91,82.07,53,2019
SCHOHARIE,0.0,0.0,0.0,45.17,0.0,52.59,0.0,74.16,2.03,0.51,0.0,47.41,0.0,0.0,53.71,0.0,12.92,0.0,0.0,0.0,0.0,11.8,34.08,86.57,54,2019
SCHUYLER,0.0,0.0,0.0,40.42,0.0,49.53,0.0,87.38,0.0,1.17,0.0,50.47,0.0,0.0,59.58,0.0,14.25,0.0,0.0,0.0,0.0,12.62,31.54,93.93,55,2019
SENECA,0.0,0.0,0.62,46.21,0.0,48.6,0.0,80.27,1.87,3.43,0.0,51.4,0.0,0.0,53.79,0.0,39.04,0.0,0.0,0.0,0.0,13.81,83.59,87.18,56,2019
STEUBEN,0.0,1.29,1.66,44.68,0.0,49.31,0.0,76.1,0.14,0.83,0.0,49.86,0.0,0.74,54.95,0.0,29.1,0.0,0.0,0.0,0.0,12.09,42.37,90.24,57,2019
SUFFOLK,0.06,3.49,7.4,36.1,5.23,48.82,1.12,87.09,24.63,1.58,0.07,51.15,0.01,0.41,63.53,63.3,47.69,0.71,9.56,0.0,0.0,12.31,60.76,92.26,58,2019
SULLIVAN,0.0,0.23,9.73,53.09,3.02,48.3,0.0,75.2,20.1,2.33,0.0,51.7,0.47,0.47,46.91,44.39,46.3,8.84,0.0,0.0,0.0,13.08,57.52,85.11,59,2019
TIOGA,0.0,0.0,0.0,44.57,0.0,50.82,0.0,83.61,0.29,0.0,0.0,49.18,0.0,0.0,55.43,0.0,0.0,0.0,0.0,0.0,0.0,12.78,47.02,90.67,60,2019
TOMPKINS,0.0,5.87,3.47,34.12,0.58,47.5,0.41,81.21,2.52,0.0,0.0,51.22,0.0,3.39,64.6,28.05,0.0,0.0,0.0,0.0,0.0,10.2,56.88,91.0,61,2019
ULSTER,0.0,0.42,8.28,43.49,1.9,49.34,0.31,83.72,13.88,1.22,0.0,50.66,0.0,1.68,56.51,34.66,36.12,0.0,0.0,0.0,0.0,16.28,71.31,89.22,62,2019
WARREN,0.0,0.33,1.27,35.85,0.0,48.4,0.0,76.13,1.32,1.13,0.0,51.6,0.0,0.57,62.69,0.0,27.41,0.0,0.0,0.0,0.0,11.56,62.78,88.84,63,2019
WASHINGTON,0.0,0.0,0.0,40.33,0.0,49.39,0.0,69.55,0.25,0.0,0.0,50.61,0.0,0.36,59.67,0.0,0.0,0.0,0.0,0.0,0.0,12.88,37.83,84.8,64,2019
WAYNE,0.0,0.0,3.07,42.49,0.0,50.76,0.0,85.04,4.44,1.61,0.0,49.24,0.0,1.19,57.51,0.0,25.7,0.0,0.0,0.0,0.0,11.95,78.04,89.69,65,2019
WESTCHESTER,0.0,4.56,12.78,37.74,3.08,48.62,1.38,85.81,29.62,1.18,0.0,51.12,0.0,0.92,52.42,44.33,23.91,0.0,0.0,0.0,0.0,12.34,47.83,91.8,66,2019
WYOMING,0.0,0.0,0.0,36.83,0.0,49.31,0.0,74.81,0.0,0.0,0.0,50.69,0.0,0.0,63.17,0.0,0.0,0.0,0.0,0.0,0.0,11.32,27.51,94.6,67,2019
YATES,0.0,0.0,0.0,53.43,0.0,44.58,0.0,87.0,1.26,2.53,0.0,55.42,0.0,0.0,46.57,0.0,47.29,0.0,0.0,0.0,0.0,13.0,64.8,83.94,68,2019
