AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
ALEXANDRIA CENTRAL HIGH SCHOOL,0.0,0.0,1.7,27.27,53.41,0.0,84.09,0.57,0.0,46.59,0.0,0.0,72.73,100.0,100.0,15.91,97.73,92.61,220202040002,22,JEFFERSON,2015,,,,,,
ALFRED E SMITH CAREER-TECH HIGH SCH,0.0,0.77,35.71,64.29,7.4,2.81,76.79,63.27,10.2,92.6,0.0,0.0,35.71,89.8,100.0,23.21,0.26,67.6,320700011600,32,BRONX,2015,,,,,,
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,0.0,4.95,0.5,28.71,49.01,0.0,90.1,0.99,0.0,50.99,0.0,0.0,71.29,100.0,100.0,9.9,93.56,96.04,20101040002,2,ALLEGANY,2015,,,,,,
ALL CITY LEADERSHIP SECONDARY SCH,0.0,2.08,15.28,88.19,50.69,2.08,89.58,82.64,2.08,49.31,0.0,0.0,11.81,97.92,100.0,10.42,0.0,91.67,333200011554,33,KINGS,2015,,,,,,
ALLEGANY-LIMESTONE HIGH SCHOOL,0.85,3.4,2.83,30.03,50.42,0.0,89.8,2.27,0.0,49.58,0.0,1.13,69.97,100.0,100.0,10.2,89.52,88.39,40302060001,4,CATTARAUGUS,2015,,,,,,
ALTERNATIVE HIGH SCHOOL AT 44,0.31,4.28,66.97,52.91,45.87,0.61,76.76,15.29,13.46,54.13,0.0,1.83,47.09,86.54,100.0,23.24,11.31,8.26,140600010133,14,ERIE,2015,,,,,,
ALTMAR-PARISH-WILLIAMSTOWN JR/SR HS,0.24,0.0,0.71,55.08,51.06,0.0,84.16,0.47,0.0,48.94,0.0,0.71,44.92,100.0,100.0,15.84,97.87,77.54,460102040006,46,OSWEGO,2015,,,,,,
AMERICAN SIGN LANG & ENG SECONDAR,0.0,2.88,23.02,82.73,62.59,0.72,55.4,66.91,10.07,37.41,0.0,1.44,17.27,89.93,100.0,44.6,5.76,72.66,310200010047,31,NEW YORK,2015,,,,,,
AMHERST CENTRAL HIGH SCHOOL,0.13,2.1,17.17,25.56,51.9,0.66,92.27,3.54,1.44,48.1,0.0,1.18,74.44,98.56,100.0,7.73,75.88,94.5,140201060002,14,ERIE,2015,,,,,,
AMITYVILLE MEMORIAL HIGH SCHOOL,0.53,0.75,55.29,62.14,49.73,1.93,85.99,33.26,6.95,50.27,0.0,1.18,37.86,93.05,100.0,14.01,8.98,81.6,580106030005,58,SUFFOLK,2015,,,,,,
AMSTERDAM HIGH SCHOOL,0.0,0.87,6.65,39.63,49.26,0.44,78.83,35.52,2.8,50.74,0.0,0.09,60.37,97.2,100.0,21.17,56.87,68.07,270100010010,27,MONTGOMERY,2015,,,,,,
ANDES CENTRAL SCHOOL,0.0,2.38,2.38,71.43,47.62,0.0,85.71,0.0,0.0,52.38,0.0,0.0,28.57,100.0,100.0,14.29,95.24,85.71,120102040001,12,DELAWARE,2015,,,,,,
ANDOVER SCHOOL,0.0,0.0,0.0,43.4,50.0,0.0,92.45,0.0,0.0,50.0,0.0,0.0,56.6,100.0,100.0,7.55,100.0,90.57,20601040001,2,ALLEGANY,2015,,,,,,
ANTONIA PANTOJA PREP ACADEMY,0.53,2.11,23.16,60.0,46.32,0.0,73.16,72.63,3.68,53.68,0.0,0.0,40.0,96.32,100.0,26.84,1.58,63.16,320800011376,32,BRONX,2015,,,,,,
ARCADIA HIGH SCHOOL,0.28,1.96,10.37,41.31,49.72,0.47,85.79,9.53,0.09,50.28,0.0,1.59,58.69,99.91,100.0,14.21,76.26,89.91,260501060010,26,MONROE,2015,,,,,,
"ARCHIMEDES ACAD-MATH, SCI, TECH",0.0,5.1,33.33,78.82,34.9,0.78,74.9,58.04,1.57,65.1,0.0,0.0,21.18,98.43,100.0,25.1,3.53,59.61,320800011367,32,BRONX,2015,,,,,,
ARDSLEY HIGH SCHOOL,0.0,16.03,4.71,6.32,53.97,0.0,86.76,7.35,0.44,46.03,0.0,0.29,93.68,99.56,100.0,13.24,71.62,97.5,660405030001,66,WESTCHESTER,2015,,,,,,
ARGYLE JUNIOR/SENIOR HIGH SCHOOL,0.0,1.0,1.0,23.38,46.27,0.0,88.06,1.0,0.0,53.73,1.0,1.0,76.62,100.0,99.0,11.94,96.02,86.07,640101040001,64,WASHINGTON,2015,,,,,,
ARKPORT CENTRAL SCHOOL,0.0,0.0,1.32,24.34,59.21,0.0,85.53,0.66,0.0,40.79,0.0,0.0,75.66,100.0,100.0,14.47,98.03,94.08,571901040004,57,STEUBEN,2015,,,,,,
ARLINGTON HIGH SCHOOL,0.0,3.85,6.65,16.58,50.12,0.31,87.67,8.85,0.27,49.88,0.0,0.76,83.42,99.73,100.0,12.33,79.88,91.3,131601060008,13,DUTCHESS,2015,,,,,,
ART AND DESIGN HIGH SCHOOL,0.34,8.31,26.36,55.75,57.93,0.34,87.99,51.81,0.67,42.07,0.0,0.34,44.25,99.33,100.0,12.01,12.85,86.06,310200011630,31,NEW YORK,2015,,,,,,
ARTS & MEDIA PREP ACADEMY,0.38,0.0,88.55,65.27,55.34,0.76,79.77,10.69,4.58,44.66,0.0,0.38,34.73,95.42,100.0,20.23,0.0,54.2,331800011589,33,KINGS,2015,,,,,,
ARTURO A SCHOMBURG SATTELLITE-BRONX,0.0,0.95,37.2,83.41,69.19,2.13,87.2,60.43,5.92,30.81,0.0,0.47,16.59,94.08,100.0,12.8,0.95,32.7,321200011446,32,BRONX,2015,,,,,,
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2.24,2.91,73.77,83.18,54.71,1.35,85.2,19.73,2.47,45.29,0.0,0.0,16.82,97.53,100.0,14.8,1.35,27.35,332300011646,33,KINGS,2015,,,,,,
ASTOR COLLEGIATE ACADEMY,0.65,8.23,35.28,79.22,40.26,4.98,76.62,44.16,5.63,59.74,0.0,0.0,20.78,94.37,100.0,23.38,11.69,71.65,321100011299,32,BRONX,2015,,,,,,
ATHENA HIGH SCHOOL,0.08,3.5,13.77,31.37,52.39,0.32,89.65,7.32,0.72,47.61,0.0,1.19,68.63,99.28,100.0,10.35,74.12,91.24,260501060019,26,MONROE,2015,,,,,,
ATTICA JUNIOR HIGH SCHOOL,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,670201060004,67,WYOMING,2015,,,,,,
ATTICA SENIOR HIGH SCHOOL,0.41,0.41,0.83,29.05,51.45,0.0,85.48,0.0,0.0,48.55,0.0,0.83,70.95,100.0,100.0,14.52,97.51,92.53,670201060001,67,WYOMING,2015,,,,,,
AUBURN HIGH SCHOOL,0.44,1.83,7.69,35.68,53.04,0.15,91.28,3.22,0.07,46.96,0.0,1.1,64.32,99.93,100.0,8.72,85.71,79.71,50100010013,5,CAYUGA,2015,,,,,,
AUGUST MARTIN HIGH SCHOOL,0.6,7.37,80.43,64.13,46.5,2.17,78.99,10.02,4.59,53.5,0.0,0.48,35.87,95.41,100.0,21.01,1.09,44.69,342700011400,34,QUEENS,2015,,,,,,
AUSABLE VALLEY HIGH SCHOOL,0.0,0.78,0.78,42.04,50.65,0.0,84.6,0.26,0.0,49.35,0.0,0.0,57.96,100.0,100.0,15.4,98.17,83.81,90201040002,9,CLINTON,2015,,,,,,
AUTOMOTIVE HIGH SCHOOL,0.41,1.84,62.91,57.38,4.1,1.23,69.67,32.58,4.3,95.9,0.0,0.0,42.62,95.7,100.0,30.33,2.25,53.48,331400011610,33,KINGS,2015,,,,,,
AVERILL PARK HIGH SCHOOL,0.0,1.56,0.37,12.87,50.37,0.0,86.49,1.84,0.18,49.63,0.0,0.46,87.13,99.82,100.0,13.51,95.77,95.59,491302060002,49,RENSSELAER,2015,,,,,,
AVIATION CAREER AND TECH HIGH SCHOOL,0.5,28.68,5.84,41.1,14.36,1.75,94.61,55.26,0.55,85.64,0.0,0.0,58.9,99.45,100.0,5.39,9.73,91.72,342400011610,34,QUEENS,2015,,,,,,
AVOCA CENTRAL SCHOOL,0.0,0.0,0.74,39.26,57.78,0.0,89.63,1.48,0.0,42.22,0.0,0.0,60.74,100.0,100.0,10.37,97.78,98.52,570201040002,57,STEUBEN,2015,,,,,,
AVON HIGH SCHOOL,0.0,0.92,1.83,25.38,47.71,0.31,92.97,1.83,0.0,52.29,0.0,0.0,74.62,100.0,100.0,7.03,95.41,92.97,240101040002,24,LIVINGSTON,2015,,,,,,
BABYLON JUNIOR-SENIOR HIGH SCHOOL,0.0,2.86,4.58,20.23,49.81,0.19,87.79,7.63,0.95,50.19,0.0,0.38,79.77,99.05,100.0,12.21,84.54,96.37,580101030002,58,SUFFOLK,2015,,,,,,
BACCALAUREATE SCHOOL-GLOBAL ED,0.4,31.2,3.6,45.2,52.8,0.0,100.0,27.6,0.0,47.2,0.0,0.0,54.8,100.0,100.0,0.0,37.2,100.0,343000011580,34,QUEENS,2015,,,,,,
BAINBRIDGE-GUILFORD HIGH SCHOOL,0.0,0.82,0.0,45.71,50.61,0.0,88.16,2.86,0.0,49.39,0.0,0.82,54.29,100.0,100.0,11.84,95.51,94.29,80201040001,8,CHENANGO,2015,,,,,,
BALDWIN SENIOR HIGH SCHOOL,0.0,3.93,47.47,11.48,47.47,0.77,86.67,19.16,2.32,52.53,0.0,1.43,88.52,97.68,100.0,13.33,28.02,92.74,280210030013,28,NASSAU,2015,,,,,,
BALLSTON SPA SENIOR HIGH SCHOOL,0.22,1.4,2.36,25.98,47.45,0.15,88.63,0.74,0.37,52.55,0.0,0.0,74.02,99.63,100.0,11.37,95.28,88.12,521301060001,52,SARATOGA,2015,,,,,,
BANANA KELLY HIGH SCHOOL,0.0,0.92,35.57,80.83,45.73,3.7,71.36,63.51,12.47,54.27,0.0,0.0,19.17,87.53,100.0,28.64,0.0,48.5,320800011530,32,BRONX,2015,,,,,,
BARD HIGH SCH EARLY COLLEGE QUEENS,0.0,34.43,13.11,45.41,60.33,0.33,99.67,18.36,0.16,39.67,0.0,0.49,54.59,99.84,100.0,0.33,33.61,98.2,342400011299,34,QUEENS,2015,,,,,,
BARD HIGH SCHOOL EARLY COLLEGE,0.0,15.33,14.98,27.35,68.82,0.35,99.3,17.6,0.0,31.18,0.0,1.22,72.65,100.0,100.0,0.7,50.87,97.91,310100011696,31,NEW YORK,2015,,,,,,
BARKER JR/SR HIGH SCHOOL,0.3,0.0,2.42,36.25,48.34,0.0,91.54,8.16,1.51,51.66,2.42,2.11,63.75,98.49,97.58,8.46,87.01,93.05,401301040003,40,NIAGARA,2015,,,,,,
BARUCH COLLEGE CAMPUS HIGH SCHOOL,0.0,61.57,4.63,62.04,55.09,1.16,98.15,15.74,0.0,44.91,0.0,0.46,37.96,100.0,100.0,1.85,17.59,99.77,310200011411,31,NEW YORK,2015,,,,,,
BATAVIA HIGH SCHOOL,0.0,0.72,8.62,43.82,52.87,0.0,86.78,4.17,0.43,47.13,0.0,5.6,56.18,99.57,100.0,13.22,80.89,87.36,180300010006,18,GENESEE,2015,,,,,,
BAY SHORE SENIOR HIGH SCHOOL,0.0,4.1,21.62,42.26,48.68,1.89,87.44,37.36,2.64,51.32,0.0,0.65,57.74,97.36,100.0,12.56,36.28,92.02,580501030006,58,SUFFOLK,2015,,,,,,
BAYPORT-BLUE POINT HIGH SCHOOL,0.38,1.92,1.28,8.58,48.91,0.13,87.32,3.97,0.38,51.09,0.0,0.26,91.42,99.62,100.0,12.68,92.19,96.93,580505020004,58,SUFFOLK,2015,,,,,,
BAYSIDE HIGH SCHOOL,0.39,42.1,13.22,70.05,50.43,2.77,88.29,24.16,3.51,49.57,0.0,0.06,29.95,96.49,100.0,11.71,20.07,92.67,342600011495,34,QUEENS,2015,,,,,,
BEACON HIGH SCHOOL,0.28,6.43,18.97,34.43,55.99,0.05,91.3,22.86,0.6,44.01,0.0,1.71,65.57,99.4,100.0,8.7,49.75,91.07,130200010005,13,DUTCHESS,2015,,,,,,
BEACON HIGH SCHOOL,0.28,6.43,18.97,34.43,55.99,0.05,91.3,22.86,0.6,44.01,0.0,1.71,65.57,99.4,100.0,8.7,49.75,91.07,310300011479,31,NEW YORK,2015,,,,,,
BEAVER RIVER HIGH SCHOOL,0.0,0.33,2.01,45.15,49.16,0.0,91.3,1.34,0.0,50.84,0.0,0.0,54.85,100.0,100.0,8.7,96.32,94.65,231301040002,23,LEWIS,2015,,,,,,
BEDFORD ACADEMY HIGH SCHOOL,0.28,3.99,87.18,61.54,51.85,0.0,94.3,7.69,0.28,48.15,0.0,0.0,38.46,99.72,100.0,5.7,0.85,97.15,331300011595,33,KINGS,2015,,,,,,
BEDFORD STUYVESANT PREP HIGH SCHOOL,1.7,0.85,81.7,84.68,64.68,0.0,95.32,15.74,0.43,35.32,0.0,0.0,15.32,99.57,100.0,4.68,0.0,36.17,331300011575,33,KINGS,2015,,,,,,
BEEKMANTOWN HIGH SCHOOL,0.0,0.34,2.71,46.95,47.12,0.0,82.03,0.0,0.0,52.88,0.17,0.0,53.05,100.0,99.83,17.97,96.95,85.25,90301060006,9,CLINTON,2015,,,,,,
BELFAST SCHOOL,0.0,0.0,0.0,41.58,46.53,0.0,81.19,5.94,0.0,53.47,1.98,0.99,58.42,100.0,98.02,18.81,93.07,79.21,20801040001,2,ALLEGANY,2015,,,,,,
BELLEVILLE HENDERSON CENTRAL SCHOOL,1.49,1.49,0.75,34.33,51.49,0.0,88.06,4.48,1.49,48.51,1.49,0.0,65.67,98.51,98.51,11.94,91.79,88.81,220909040010,22,JEFFERSON,2015,,,,,,
BELLPORT SENIOR HIGH SCHOOL,0.53,1.58,27.16,47.78,53.35,0.53,86.53,24.53,2.78,46.65,0.0,0.98,52.22,97.22,100.0,13.47,45.22,83.75,580235060006,58,SUFFOLK,2015,,,,,,
BELMONT PREPARATORY HIGH SCHOOL,0.55,3.04,27.9,84.81,54.14,4.97,85.36,66.02,7.46,45.86,0.0,0.0,15.19,92.54,100.0,14.64,2.49,67.96,321000011434,32,BRONX,2015,,,,,,
BENJAMIN BANNEKER ACADEMY,0.83,3.69,85.6,52.98,54.17,0.0,97.38,9.52,0.0,45.83,0.0,0.0,47.02,100.0,100.0,2.62,0.36,94.64,331300011670,33,KINGS,2015,,,,,,
BENJAMIN N CARDOZO HIGH SCHOOL,0.65,47.62,18.04,52.19,52.79,3.19,90.86,17.9,3.79,47.21,0.0,0.24,47.81,96.21,100.0,9.14,15.55,90.1,342600011415,34,QUEENS,2015,,,,,,
BENNETT HIGH SCHOOL,1.75,3.91,78.95,68.56,53.85,1.08,77.46,7.83,4.05,46.15,0.0,1.48,31.44,95.95,100.0,22.54,6.07,47.64,140600010099,14,ERIE,2015,,,,,,
BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,32.14,100.0,0.0,0.0,53.57,10.71,0.0,100.0,0.0,0.0,0.0,100.0,100.0,46.43,57.14,7.14,100308020001,10,COLUMBIA,2015,,,,,,
BERLIN HIGH SCHOOL,0.0,0.38,0.77,38.85,53.46,0.0,83.85,1.15,0.0,46.54,0.0,0.38,61.15,100.0,100.0,16.15,97.31,86.15,490101040006,49,RENSSELAER,2015,,,,,,
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,0.0,0.64,0.96,26.37,45.66,0.64,81.35,0.96,0.0,54.34,0.0,1.29,73.63,100.0,100.0,18.65,96.14,88.75,10201040001,1,ALBANY,2015,,,,,,
BERNER MIDDLE SCHOOL,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,280523030010,28,NASSAU,2015,,,,,,
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.25,5.35,1.97,8.36,47.23,0.12,95.45,2.34,0.31,52.77,0.0,0.49,91.64,99.69,100.0,4.55,89.61,94.53,10306060008,1,ALBANY,2015,,,,,,
BETHPAGE SENIOR HIGH SCHOOL,0.21,10.33,0.32,14.65,49.95,0.74,92.2,8.96,0.74,50.05,0.0,0.11,85.35,99.26,100.0,7.8,80.08,98.63,280521030006,28,NASSAU,2015,,,,,,
BINGHAMTON HIGH SCHOOL,0.25,3.25,25.22,60.38,50.0,0.25,84.59,10.83,1.66,50.0,0.0,4.08,39.62,98.34,100.0,15.41,56.37,66.94,30200010021,3,BROOME,2015,,,,,,
BIRCHWOOD SCHOOL,0.0,7.69,1.92,17.31,32.69,0.0,1.92,13.46,0.0,67.31,0.0,0.0,82.69,100.0,100.0,98.08,76.92,88.46,500101060020,50,ROCKLAND,2015,,,,,,
BLIND BROOK HIGH SCHOOL,0.0,4.27,1.66,0.24,52.61,0.24,88.39,1.42,0.0,47.39,0.0,0.95,99.76,100.0,100.0,11.61,91.71,100.0,661905020002,66,WESTCHESTER,2015,,,,,,
BLOOMFIELD HIGH SCHOOL,0.62,0.31,0.93,21.43,51.55,0.0,90.37,1.24,0.0,48.45,0.0,0.93,78.57,100.0,100.0,9.63,95.96,93.17,430501040001,43,ONTARIO,2015,,,,,,
BLYTHEDALE SCHOOL,0.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,25.0,0.0,660806020001,66,WESTCHESTER,2015,,,,,,
BOLIVAR-RICHBURG ELEMENTARY SCHOOL,0.0,0.0,0.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,100.0,0.0,22902040002,2,ALLEGANY,2015,,,,,,
BOLIVAR-RICHBURG JUNIOR-SENIOR HS,0.0,0.0,1.3,50.22,59.31,0.0,88.31,0.87,0.0,40.69,0.0,0.87,49.78,100.0,100.0,11.69,96.97,85.28,22902040001,2,ALLEGANY,2015,,,,,,
BOLTON CENTRAL SCHOOL,0.0,1.14,6.82,22.73,40.91,0.0,97.73,2.27,0.0,59.09,0.0,0.0,77.27,100.0,100.0,2.27,89.77,97.73,630101040001,63,WARREN,2015,,,,,,
BOYS AND GIRLS HIGH SCHOOL,0.74,0.65,89.59,63.32,38.25,1.38,78.25,7.74,2.58,61.75,0.0,0.0,36.68,97.42,100.0,21.75,1.29,54.84,331600011455,33,KINGS,2015,,,,,,
BRADFORD CENTRAL SCHOOL,0.0,0.0,0.0,46.51,55.81,0.0,80.23,0.0,0.0,44.19,0.0,2.33,53.49,100.0,100.0,19.77,97.67,76.74,570401040001,57,STEUBEN,2015,,,,,,
BREAD & ROSES INTEGRATED ARTS HS,0.0,0.0,54.14,72.65,48.62,5.25,70.72,45.03,13.81,51.38,0.0,0.0,27.35,86.19,100.0,29.28,0.83,40.88,310500011685,31,NEW YORK,2015,,,,,,
BRENTWOOD HIGH SCHOOL,0.1,2.49,15.35,70.85,48.31,4.22,89.26,73.26,13.16,51.69,0.0,0.06,29.15,86.84,100.0,10.74,8.74,78.94,580512030018,58,SUFFOLK,2015,,,,,,
BREWSTER HIGH SCHOOL,0.08,2.74,2.9,17.66,47.58,0.24,87.02,18.06,1.45,52.42,0.0,1.53,82.34,98.55,100.0,12.98,74.68,92.58,480601060003,48,PUTNAM,2015,,,,,,
BRIARCLIFF HIGH SCHOOL,0.0,9.84,2.94,3.8,47.5,0.0,92.92,4.66,0.0,52.5,0.0,0.0,96.2,100.0,100.0,7.08,82.56,99.65,661402020002,66,WESTCHESTER,2015,,,,,,
